"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Embrach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5432;2964;54.6;2940;903;2037;30.7
"......Freienstein-Teufen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1633;954;58.4;945;310;635;32.8
"......Glattfelden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2897;1501;51.8;1492;436;1056;29.2
"......Hochfelden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1360;778;57.2;776;224;552;28.9
"......Höri";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1494;717;48.0;715;213;502;29.8
"......Hüntwangen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";730;441;60.4;438;114;324;26.0
"......Kloten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10776;4872;45.2;4847;1471;3376;30.3
"......Lufingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1212;686;56.6;683;176;507;25.8
"......Nürensdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3784;2317;61.2;2299;506;1793;22.0
"......Oberembrach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";823;500;60.8;496;106;390;21.4
"......Opfikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7613;3264;42.9;3242;1036;2206;32.0
"......Rafz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2727;1577;57.8;1568;471;1097;30.0
"......Rorbas";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1540;734;47.7;731;236;495;32.3
"......Wallisellen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8760;4614;52.7;4589;1284;3305;28.0
"......Wasterkingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";427;256;60.0;250;74;176;29.6
"......Wil (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";994;587;59.1;583;172;411;29.5
"......Winkel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3023;1818;60.1;1807;380;1427;21.0
