"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Bönigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1929;932;48.3;922;344;578;37.3
"......Brienz (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2301;1127;49.0;1111;380;731;34.2
"......Brienzwiler";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";393;181;46.1;181;59;122;32.6
"......Därligen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";309;142;46.0;141;53;88;37.6
"......Grindelwald";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2664;1189;44.6;1166;298;868;25.6
"......Gsteigwiler";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";336;159;47.3;153;61;92;39.9
"......Gündlischwand";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";230;120;52.2;118;35;83;29.7
"......Habkern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";478;232;48.5;227;76;151;33.5
"......Hofstetten bei Brienz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";422;221;52.4;215;78;137;36.3
"......Interlaken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3602;1795;49.8;1777;585;1192;32.9
"......Iseltwald";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";320;146;45.6;146;54;92;37.0
"......Lauterbrunnen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1663;792;47.6;782;245;537;31.3
"......Leissigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";744;387;52.0;380;144;236;37.9
"......Lütschental";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";200;83;41.5;82;32;50;39.0
"......Matten bei Interlaken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2715;1353;49.8;1335;474;861;35.5
"......Niederried bei Interlaken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";256;133;52.0;127;49;78;38.6
"......Oberried am Brienzersee";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";363;168;46.3;167;80;87;47.9
"......Ringgenberg (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2021;906;44.8;895;337;558;37.7
"......Saxeten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";84;39;46.4;38;19;19;50.0
"......Schwanden bei Brienz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";472;254;53.8;248;89;159;35.9
"......Unterseen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4074;2134;52.4;2110;695;1415;32.9
"......Wilderswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1880;914;48.6;899;338;561;37.6
"......Guttannen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";232;103;44.4;102;39;63;38.2
"......Hasliberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";869;391;45.0;386;132;254;34.2
"......Innertkirchen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";850;379;44.6;374;152;222;40.6
"......Meiringen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3300;1646;49.9;1632;575;1057;35.2
"......Schattenhalb";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";429;219;51.0;207;63;144;30.4
"......BE-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Luzern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";265968;143425;53.9;141191;41917;99274;29.7
">> Wahlkreis Luzern-Stadt";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";52901;26919;50.9;26495;9412;17083;35.5
"......Luzern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";52901;26919;50.9;26495;9412;17083;35.5
">> Wahlkreis Luzern-Land";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";66434;37680;56.7;37162;10674;26488;28.7
"......Adligenswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3829;2431;63.5;2399;719;1680;30.0
"......Buchrain";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3925;2152;54.8;2104;586;1518;27.9
"......Dierikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";983;504;51.3;493;146;347;29.6
"......Ebikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8262;4118;49.8;4063;1222;2841;30.1
"......Gisikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";776;428;55.2;413;106;307;25.7
"......Greppen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";652;493;75.6;488;113;375;23.2
"......Honau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";257;150;58.4;148;40;108;27.0
"......Horw";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9362;5847;62.5;5772;1648;4124;28.6
"......Kriens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";18551;10170;54.8;10008;3201;6807;32.0
"......Malters";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4876;2550;52.3;2530;720;1810;28.5
"......Meggen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4849;3150;65.0;3132;650;2482;20.8
"......Meierskappel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";906;491;54.2;480;125;355;26.0
"......Root";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2769;1307;47.2;1296;342;954;26.4
"......Schwarzenberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1241;667;53.7;661;190;471;28.7
"......Udligenswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1545;964;62.4;949;258;691;27.2
"......Vitznau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";810;486;60.0;480;167;313;34.8
"......Weggis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2841;1772;62.4;1746;441;1305;25.3
">> Wahlkreis Hochdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";43841;23508;53.6;23186;6634;16552;28.6
"......Aesch (LU)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";741;419;56.5;412;104;308;25.2
"......Altwis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";277;142;51.3;141;50;91;35.5
"......Ballwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1848;1092;59.1;1069;232;837;21.7
"......Emmen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";16353;7813;47.8;7730;2684;5046;34.7
"......Ermensee";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";597;336;56.3;333;71;262;21.3
"......Eschenbach (LU)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2511;1555;61.9;1531;384;1147;25.1
"......Hitzkirch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3321;1781;53.6;1761;505;1256;28.7
"......Hochdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5852;3187;54.5;3128;825;2303;26.4
"......Hohenrain";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1767;1029;58.2;1008;281;727;27.9
"......Inwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1666;930;55.8;910;210;700;23.1
"......Rain";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1803;1044;57.9;1038;206;832;19.8
"......Römerswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1204;633;52.6;624;141;483;22.6
"......Rothenburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5213;3183;61.1;3143;824;2319;26.2
"......Schongau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";688;364;52.9;358;117;241;32.7
">> Wahlkreis Sursee";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";47486;26567;55.9;26110;6976;19134;26.7
"......Beromünster";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4171;2351;56.4;2304;646;1658;28.0
"......Büron";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1323;688;52.0;674;179;495;26.6
"......Buttisholz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2144;1221;56.9;1193;293;900;24.6
"......Eich";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1304;778;59.7;766;143;623;18.7
"......Geuensee";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1606;789;49.1;780;268;512;34.4
"......Grosswangen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2077;1112;53.5;1101;263;838;23.9
"......Hildisrieden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1480;920;62.2;905;210;695;23.2
"......Knutwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1432;786;54.9;767;208;559;27.1
"......Mauensee";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";887;485;54.7;480;152;328;31.7
"......Neuenkirch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4409;2402;54.5;2371;630;1741;26.6
"......Nottwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2367;1346;56.9;1308;384;924;29.4
"......Oberkirch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2642;1538;58.2;1515;439;1076;29.0
"......Rickenbach (LU)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1973;1035;52.5;1021;209;812;20.5
"......Ruswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4945;2656;53.7;2613;712;1901;27.2
"......Schenkon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2081;1266;60.8;1252;258;994;20.6
"......Schlierbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";518;304;58.7;296;71;225;24.0
"......Sempach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2949;1833;62.2;1805;402;1403;22.3
"......Sursee";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6439;3564;55.4;3492;1091;2401;31.2
"......Triengen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2739;1493;54.5;1467;418;1049;28.5
">> Wahlkreis Willisau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";34992;18026;51.5;17744;4978;12766;28.1
"......Alberswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";411;200;48.7;195;61;134;31.3
"......Altbüron";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";717;348;48.5;337;108;229;32.0
"......Altishofen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1006;521;51.8;511;121;390;23.7
"......Dagmersellen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3460;1876;54.2;1852;461;1391;24.9
"......Ebersecken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";289;162;56.1;156;43;113;27.6
"......Egolzwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";988;535;54.1;528;152;376;28.8
"......Ettiswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1836;953;51.9;932;226;706;24.2
"......Fischbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";478;239;50.0;233;88;145;37.8
"......Gettnau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";680;287;42.2;286;65;221;22.7
"......Grossdietwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";609;295;48.4;293;94;199;32.1
"......Hergiswil bei Willisau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1359;688;50.6;676;213;463;31.5
"......Luthern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";974;464;47.6;460;142;318;30.9
"......Menznau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2018;982;48.7;957;255;702;26.6
"......Nebikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1496;775;51.8;759;179;580;23.6
"......Pfaffnau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1630;776;47.6;762;254;508;33.3
"......Reiden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4305;2195;51.0;2154;633;1521;29.4
"......Roggliswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";496;239;48.2;235;82;153;34.9
"......Schötz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2567;1242;48.4;1223;294;929;24.0
"......Ufhusen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";634;435;68.6;424;132;292;31.1
"......Wauwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1099;577;52.5;575;161;414;28.0
"......Wikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";990;506;51.1;504;165;339;32.7
"......Zell (LU)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1405;640;45.6;627;180;447;28.7
"......Willisau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5545;3091;55.7;3065;869;2196;28.4
">> Wahlkreis Entlebuch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";16503;9166;55.5;8972;2595;6377;28.9
"......Doppleschwand";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";519;281;54.1;280;65;215;23.2
"......Entlebuch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2478;1392;56.2;1368;366;1002;26.8
"......Flühli";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1234;802;65.0;777;175;602;22.5
"......Hasle (LU)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1278;708;55.4;694;166;528;23.9
"......Romoos";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";514;289;56.2;281;90;191;32.0
"......Schüpfheim";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3000;1763;58.8;1730;521;1209;30.1
"......Werthenstein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1347;712;52.9;699;224;475;32.0
"......Escholzmatt-Marbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3270;1712;52.4;1670;578;1092;34.6
"......Wolhusen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2863;1507;52.6;1473;410;1063;27.8
"......LU-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3811;1559;40.9;1522;648;874;42.6
"- Uri";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";26226;12820;48.9;12641;4037;8604;31.9
">> Kanton Uri";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";25822;12653;49.0;12475;3961;8514;31.8
"......Altdorf (UR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6443;3261;50.6;3233;1055;2178;32.6
"......Andermatt";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";938;443;47.2;442;99;343;22.4
"......Attinghausen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1148;479;41.7;469;150;319;32.0
"......Bauen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";142;74;52.1;72;13;59;18.1
"......Bürglen (UR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2972;1436;48.3;1417;448;969;31.6
"......Erstfeld";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2581;1322;51.2;1297;532;765;41.0
"......Flüelen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1380;694;50.3;677;176;501;26.0
"......Göschenen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";320;150;46.9;149;54;95;36.2
"......Gurtnellen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";437;175;40.0;172;54;118;31.4
"......Hospental";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";157;83;52.9;82;24;58;29.3
"......Isenthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";388;186;47.9;184;59;125;32.1
"......Realp";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";131;72;55.0;71;20;51;28.2
"......Schattdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3749;1918;51.2;1901;554;1347;29.1
"......Seedorf (UR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1290;607;47.1;605;165;440;27.3
"......Seelisberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";473;252;53.3;245;74;171;30.2
"......Silenen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1538;688;44.7;678;250;428;36.9
"......Sisikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";260;137;52.7;135;43;92;31.9
"......Spiringen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";634;273;43.1;248;68;180;27.4
"......Unterschächen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";538;248;46.1;245;77;168;31.4
"......Wassen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";303;155;51.2;153;46;107;30.1
"......UR-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";404;167;41.3;166;76;90;45.8
"- Schwyz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";100449;56970;56.7;56676;13201;43475;23.3
">> Bezirk Einsiedeln";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10389;5920;57.0;5887;1405;4482;23.9
"......Einsiedeln";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10389;5920;57.0;5887;1405;4482;23.9
">> Bezirk Gersau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1515;854;56.4;848;201;647;23.7
"......Gersau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1515;854;56.4;848;201;647;23.7
">> Bezirk Höfe";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";17708;10830;61.2;10767;1882;8885;17.5
"......Feusisberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3104;1856;59.8;1844;281;1563;15.2
"......Freienbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9951;6016;60.5;5984;1155;4829;19.3
"......Wollerau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4653;2958;63.6;2939;446;2493;15.2
">> Bezirk Küssnacht (SZ)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8151;4762;58.4;4734;1037;3697;21.9
"......Küssnacht (SZ)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8151;4762;58.4;4734;1037;3697;21.9
">> Bezirk March";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";26349;13893;52.7;13840;3414;10426;24.7
"......Altendorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4300;2532;58.9;2526;507;2019;20.1
"......Galgenen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3265;1736;53.2;1729;432;1297;25.0
"......Innerthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";152;90;59.2;90;19;71;21.1
"......Lachen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4873;2672;54.8;2659;621;2038;23.4
"......Reichenburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2189;1102;50.3;1097;307;790;28.0
"......Schübelbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5309;2543;47.9;2533;675;1858;26.6
"......Tuggen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2120;1045;49.3;1040;266;774;25.6
"......Vorderthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";772;374;48.4;371;122;249;32.9
"......Wangen (SZ)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3369;1799;53.4;1795;465;1330;25.9
">> Bezirk Schwyz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";36337;20711;57.0;20600;5262;15338;25.5
"......Alpthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";443;255;57.6;255;74;181;29.0
"......Arth";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6845;3882;56.7;3860;1073;2787;27.8
"......Illgau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";591;311;52.6;305;83;222;27.2
"......Ingenbohl";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5895;3450;58.5;3425;851;2574;24.8
"......Lauerz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";757;474;62.6;470;115;355;24.5
"......Morschach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";713;401;56.2;401;125;276;31.2
"......Muotathal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2609;1497;57.4;1489;286;1203;19.2
"......Oberiberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";680;410;60.3;408;108;300;26.5
"......Riemenstalden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";58;27;46.6;26;10;16;38.5
"......Rothenthurm";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1500;837;55.8;835;177;658;21.2
"......Sattel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1322;726;54.9;726;162;564;22.3
"......Schwyz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10101;5782;57.2;5747;1513;4234;26.3
"......Steinen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2379;1325;55.7;1321;371;950;28.1
"......Steinerberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";668;359;53.7;358;81;277;22.6
"......Unteriberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1776;975;54.9;974;233;741;23.9
"......SZ-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Obwalden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";25790;14978;58.1;14516;3997;10519;27.5
">> Kanton Obwalden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";25790;14978;58.1;14516;3997;10519;27.5
"......Alpnach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4062;2354;58.0;2258;612;1646;27.1
"......Engelberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2572;1563;60.8;1521;362;1159;23.8
"......Giswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2602;1449;55.7;1401;439;962;31.3
"......Kerns";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4289;2416;56.3;2328;653;1675;28.0
"......Lungern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1550;920;59.4;892;255;637;28.6
"......Sachseln";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3477;2034;58.5;1996;568;1428;28.5
"......Sarnen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7238;4242;58.6;4120;1108;3012;26.9
"......OW-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Nidwalden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";30590;17916;58.6;17475;4396;13079;25.2
">> Kanton Nidwalden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";30590;17916;58.6;17475;4396;13079;25.2
"......Beckenried";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2497;1482;59.4;1459;386;1073;26.5
"......Buochs";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3817;2198;57.6;2141;484;1657;22.6
"......Dallenwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1346;719;53.4;690;205;485;29.7
"......Emmetten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";974;516;53.0;504;126;378;25.0
"......Ennetbürgen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3415;2043;59.8;2007;445;1562;22.2
"......Ennetmoos";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1514;899;59.4;871;265;606;30.4
"......Hergiswil (NW)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3918;2375;60.6;2293;446;1847;19.5
"......Oberdorf (NW)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2340;1361;58.2;1333;361;972;27.1
"......Stans";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5922;3532;59.6;3446;1001;2445;29.0
"......Stansstad";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3326;1933;58.1;1893;441;1452;23.3
"......Wolfenschiessen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1521;858;56.4;838;236;602;28.2
"......NW-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Glarus";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";26106;12197;46.7;12067;4046;8021;33.5
">> Kanton Glarus";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";26106;12197;46.7;12067;4046;8021;33.5
"......Glarus Nord";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";11122;5197;46.7;5135;1667;3468;32.5
"......Glarus Süd";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7051;3365;47.7;3334;1148;2186;34.4
"......Glarus";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7933;3635;45.8;3598;1231;2367;34.2
"......GL-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Zug";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";72923;44415;60.9;44138;10134;34004;23.0
">> Kanton Zug";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";72923;44415;60.9;44138;10134;34004;23.0
"......Baar";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";13666;8031;58.8;7985;1852;6133;23.2
"......Cham";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9683;5693;58.8;5655;1317;4338;23.3
"......Hünenberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5887;3663;62.2;3650;740;2910;20.3
"......Menzingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2941;1736;59.0;1727;390;1337;22.6
"......Neuheim";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1309;869;66.4;860;184;676;21.4
"......Oberägeri";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3545;2187;61.7;2175;450;1725;20.7
"......Risch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6107;3502;57.3;3488;703;2785;20.2
"......Steinhausen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5872;3761;64.0;3745;862;2883;23.0
"......Unterägeri";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5186;3137;60.5;3123;697;2426;22.3
"......Walchwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2055;1321;64.3;1311;199;1112;15.2
