Gemeinde;Ja Stimmen;Nein Stimmen;Ja-Anteil (%);Stimmberechtigte;Eingelegte Stimmzettel;Stimmbeteiligung (%)
Oetwil a.d.L;226;772;22.65;1668;1008;60.43
Opfikon;1036;2206;31.96;7613;3271;42.97
Ossingen;199;377;34.55;986;580;58.82
Otelfingen;259;690;27.29;1765;968;54.84
Ottenbach;373;759;32.95;1816;1157;63.71
Pfäffikon;1438;2802;33.92;7449;4327;58.09
Pfungen;435;780;35.8;2095;1249;59.62
Rafz;471;1097;30.04;2727;1585;58.12
Regensberg;48;156;23.53;318;204;64.15
Regensdorf;1425;3084;31.6;9386;4581;48.81
Rheinau;224;337;39.93;922;574;62.26
Richterswil;1474;3463;29.86;8511;5059;59.44
Rickenbach;317;764;29.32;1794;1103;61.48
Rifferswil;167;284;37.03;702;455;64.81
Rorbas;236;495;32.28;1540;736;47.79
Rümlang;559;1420;28.25;4212;2015;47.84
Rüschlikon;422;1694;19.94;3430;2149;62.65
Russikon;428;1308;24.65;2956;1774;60.01
Rüti;1384;2619;34.57;7708;4076;52.88
Schlatt;124;206;37.58;513;337;65.69
Schleinikon;92;215;29.97;527;309;58.63
Schlieren;1207;2244;34.98;8018;3526;43.98
Schöfflisdorf;160;431;27.07;958;599;62.53
Schönenberg;195;664;22.7;1431;875;61.15
Schwerzenbach;519;1172;30.69;3113;1711;54.96
Seegräben;171;384;30.81;878;557;63.44
Seuzach;823;2246;26.82;5214;3121;59.86
Stadel;188;550;25.47;1465;753;51.4
Stäfa;1746;4261;29.07;9544;6086;63.77
Stallikon;374;1000;27.22;2247;1385;61.64
Steinmaur;281;846;24.93;2184;1144;52.38
Sternenberg;91;106;46.19;276;198;71.74
Thalheim a.d.Th.;106;252;29.61;649;365;56.24
Thalwil;1781;4644;27.72;10976;6509;59.3
Trüllikon;129;304;29.79;769;434;56.44
Truttikon;74;160;31.62;329;238;72.34
Turbenthal;528;912;36.67;2874;1496;52.05
Uetikon a.S.;659;1776;27.06;3973;2469;62.14
Uitikon;308;1561;16.48;2779;1906;68.59
Unterengstringen;277;1057;20.76;2289;1355;59.2
Unterstammheim;109;267;28.99;626;383;61.18
Urdorf;971;2286;29.81;6085;3338;54.86
Uster;3960;7450;34.71;21262;11676;54.91
Volken;30;101;22.9;212;132;62.26
Volketswil;1529;4186;26.75;11081;5789;52.24
Wädenswil;2457;5247;31.89;13599;7834;57.61
Wald;1039;1904;35.3;5803;3007;51.82
