Eidgenössische Volksabstimmung vom  24.11.2013;;;;;;;;;;
Votation populaire fédérale du  24.11.2013;;;;;;;;;;
;;;;;;;;;;
Volksinitiative «1:12 - Für gerechte Löhne» / Initiative populaire «1:12 - Pour des salaires équitables»;;;;;;;;;;
Kanton Bern / Canton de Berne;;;;;;;;;;
;;;;;Stimmzettel / Bulletins;;;;;
Verwaltungskreis;Anzahl Stimmber.;AuslandschweizerInnen;Eingelangte Ausweiskarten;Stimmb.;Eingelangte;Ausser Betracht fallende / non valables;;in Betracht fallende;Ja;Nein
Arrondissement administratif;No. d'?lec.;Suisses de l'?tranger;Nombre de cartes de l?g. rentr?es;Part.;rentr?s ;leer / blancs ;ung?ltig / nuls ;valables;Oui;Non
;;;;;;;;;;
Hofstetten ;422;0;221;52.37%;221;3;2;216;103;113
Innertkirchen;645;20;303;46.98%;303;2;0;301;188;113
Interlaken;3602;47;1795;49.83%;1795;17;3;1775;740;1035
Iseltwald;320;10;146;45.62%;146;1;0;145;92;53
Lauterbrunnen;1663;63;792;47.62%;792;8;3;781;389;392
Leissigen;744;8;387;52.02%;387;8;0;379;182;197
Lütschental;200;9;83;41.50%;83;1;0;82;56;26
Matten ;2715;22;1414;49.83%;1353;15;0;1338;619;719
Meiringen;3300;28;1656;49.88%;1646;24;0;1622;795;827
Niederried ;256;2;133;51.95%;133;5;1;127;63;64
Oberried ;363;12;168;46.28%;168;2;1;165;96;69
Ringgenberg ;2021;47;906;44.83%;906;11;0;895;461;434
Saxeten;84;7;39;46.43%;39;1;0;38;24;14
Schattenhalb;429;13;219;51.05%;219;5;3;211;107;104
Schwanden bei Brienz;472;8;254;53.81%;254;2;1;251;121;130
Unterseen;4074;44;2135;52.38%;2134;25;0;2109;932;1177
Wilderswil;1880;38;914;48.62%;914;25;0;889;477;412
;;;;;;;;;;
Total;34008;705;16703;48.84%;16608;215;17;16376;8237;8139
;;;;;;;;;;
Änderung des Nationalstrassenabgabegesetzes (Autobahnvignette) / Modification de la loi sur la vignette autoroutière;;;;;;;;;;
Jura bernois;;;;;;;;;;
;;;;;Stimmzettel / Bulletins;;;;;
