commune,vote_yes,vote_no,turnout_perc,canton,canton_name,bfsnr,n_taxed,mean_income,median_income,gini-coeff,percent_yes
Arnex-sur-Nyon,24,59,72.41,VD,Vaud,5701,102,85856.9450429745,53085.7142857143,0.561176562999638,0.289156626506024
Full-Reuenthal,83,204,51.06,AG,Aargau,4307,477,45362.8958733491,42700,0.329896372967697,0.289198606271777
Rüfenach,105,258,57.82,AG,Aargau,4112,483,50325.5119104498,47500,0.318645835731917,0.289256198347107
Ballens,57,140,63.01,VD,Vaud,5423,276,50174.322833705,43050,0.412263578598623,0.289340101522843
Lostorf,486,1193,60.6,SO,Solothurn,2493,2338,49218.4760327776,46727.7777777778,0.397320167651486,0.289458010720667
Fehren,77,189,56.5,SO,Solothurn,2616,381,40360.8041208228,40538.4615384615,0.36428204476862,0.289473684210526
Oberkirch,439,1076,58.21,LU,Luzern,1095,2326,51371.6114462505,47700,0.345876100917852,0.28976897689769
Egliswil,151,370,54.65,AG,Aargau,4195,766,50857.4778791119,48659.5238095238,0.333260881956225,0.289827255278311
Tschappina,20,49,62.5,GR,Graubünden / Grigioni / Grisch,3669,81,27823.5229276896,25866.6666666667,0.421513742134384,0.289855072463768
Unterstammheim,109,267,61.18,ZH,Zürich,42,507,45733.95845665,42200,0.410634704504547,0.289893617021277
Riedholz,264,646,55.3,SO,Solothurn,2554,1361,52679.5389799503,50200,0.361631906366506,0.29010989010989
Alpthal,74,181,57.6,SZ,Schwyz,1361,377,47631.0188431017,38800,0.404478473631084,0.290196078431373
Hölstein,257,628,55.1,BL,Basel-Landschaft,2886,1358,49789.7388802227,46090.2777777778,0.372470578459104,0.290395480225989
Massongex,140,342,45.32,VS,Valais / Wallis,6215,1104,38431.8330313331,38292.8571428571,0.398992601811629,0.29045643153527
Steinach,323,789,50.94,SG,St. Gallen,3217,2041,46843.1672578767,42900,0.364171185581459,0.290467625899281
Stans,1001,2445,59.6,NW,Nidwalden,1509,4892,52263.8972110799,47618.0555555556,0.36263596563924,0.290481717933836
Bolligen,919,2244,67.6,BE,Bern / Berne,352,3687,55427.4708362656,50400,0.414472419833987,0.290546949098957
Berneck,408,996,55.36,SG,St. Gallen,3233,2281,46984.447392429,41900,0.390316332611289,0.290598290598291
Stäfa,1746,4261,63.77,ZH,Zürich,158,8527,63986.338530425,50523.8095238095,0.45809133981879,0.290660895621775
Reinach (AG),503,1227,40.6,AG,Aargau,4141,4715,41091.5713650918,39100,0.340045297007895,0.290751445086705
Boniswil,160,390,57.42,AG,Aargau,4192,825,48440.7728097114,45400,0.357020391762236,0.290909090909091
Inden,16,39,64.71,VS,Valais / Wallis,6109,102,25398.7704198489,23033.3333333333,0.517620019766158,0.290909090909091
Prévonloup,16,39,55,VD,Vaud,5683,101,43110.6831424901,40266.6666666667,0.37118896991841,0.290909090909091
Goldach,913,2224,53.2,SG,St. Gallen,3213,5544,46029.6931364324,42800,0.340770631065541,0.291042397194772
Kaisten,237,577,46.03,AG,Aargau,4169,1463,49198.6710136646,45461.5384615385,0.354881456254848,0.291154791154791
Gondiswil,83,202,47.75,BE,Bern / Berne,326,431,35797.2412309404,34933.3333333333,0.330923047901536,0.291228070175439
Widnau,755,1837,49.74,SG,St. Gallen,3238,5333,44467.0966183881,41400,0.35460123259867,0.291280864197531
Château-d'Oex,289,703,48.74,VD,Vaud,5841,2444,34090.1605127058,27700,0.483589623441008,0.29133064516129
Adlikon,88,214,67.78,ZH,Zürich,21,347,51026.8649784329,44714.2857142857,0.394490258048734,0.291390728476821
Hombrechtikon,871,2118,55.46,ZH,Zürich,153,4822,53618.447486256,44900,0.42826147113698,0.291401806624289
Schattdorf,554,1347,51.2,UR,Uri,1213,2859,45648.3165298021,43900,0.314999233442522,0.291425565491846
Brüttelen,65,158,54.42,BE,Bern / Berne,491,353,40149.8014325601,38400,0.384977051692978,0.291479820627803
Laconnex,79,192,65,GE,Genève,6627,372,79405.8155099345,59550,0.535948055979978,0.291512915129151
Bofflens,28,68,67.36,VD,Vaud,5747,116,44475.9753398195,41233.3333333333,0.37214921115288,0.291666666666667
Othmarsingen,227,551,49.43,AG,Aargau,4205,1471,46827.106380556,45000,0.325835944793191,0.291773778920308
Vérossaz,89,216,65.34,VS,Valais / Wallis,6220,404,38899.2059622629,40171.4285714286,0.364977800199845,0.291803278688525
Mönthal,47,114,52.9,AG,Aargau,4106,230,50558.6685146153,47816.6666666667,0.354822224330696,0.291925465838509
Holderbank (AG),80,194,45.1,AG,Aargau,4199,647,46571.0681076428,44000,0.300828377958369,0.291970802919708
Buus,106,257,48.4,BL,Basel-Landschaft,2844,573,46919.961453095,45300,0.328363182412438,0.292011019283747
Eschenbach (SG),894,2167,51.27,SG,St. Gallen,3342,5069,44532.8234711283,40300,0.369332587440295,0.292061417837308
Rheineck,272,659,52.27,SG,St. Gallen,3235,1965,40410.1769208155,37500,0.362974217458509,0.292158968850698
Glattfelden,436,1056,52.61,ZH,Zürich,58,2687,50434.348302108,47400,0.355735251630028,0.292225201072386
Riehen,2513,6083,64.5,BS,Basel-Stadt,2703,12710,66671.6074630471,51200,0.473386903531592,0.292345276872964
Wäldi,112,271,56.5,TG,Thurgau,4701,608,45138.098306805,39350,0.378489273061413,0.29242819843342
Morlon,62,150,54.71,FR,Fribourg / Freiburg,2143,361,46283.2257213636,42958.3333333333,0.400421173942907,0.292452830188679
Dozwil,74,179,59.6,TG,Thurgau,4406,366,41613.3575603898,37600,0.369994986060775,0.292490118577075
Küttigen,700,1692,58.43,AG,Aargau,4008,3550,54840.2441677286,49300,0.362636701596684,0.292642140468227
Blatten,36,87,53.68,VS,Valais / Wallis,6192,234,29214.6374696054,30266.6666666667,0.451358770693793,0.292682926829268
Hospental,24,58,52.9,UR,Uri,1210,140,34640.453151346,35000,0.378555695565252,0.292682926829268
St. Margrethen,377,911,49.52,SG,St. Gallen,3236,3392,38405.2189933274,36800,0.343786963480839,0.292701863354037
Bursins,85,205,63.15,VD,Vaud,5853,431,64117.9987892575,52384.6153846154,0.450851545815296,0.293103448275862
Rickenbach (ZH),317,764,61.48,ZH,Zürich,225,1458,50151.2917668638,47566.6666666667,0.368668753164834,0.293246993524514
Ormalingen,208,501,48,BL,Basel-Landschaft,2856,1238,50828.6475297173,47033.3333333333,0.341409257920264,0.293370944992948
Lalden,98,236,67.54,VS,Valais / Wallis,6286,418,37953.8461077242,37700,0.405947651768278,0.293413173652695
Densbüren,81,195,52.96,AG,Aargau,4004,419,42365.3838140115,41000,0.333455608034172,0.293478260869565
Herisau,1547,3724,51,AR,Appenzell Ausserrhoden,3001,9631,43430.9174492861,40200,0.375432823741834,0.293492695883134
Nottwil,384,924,56.87,LU,Luzern,1094,1900,48697.2467798181,44878.5714285714,0.323486117984061,0.293577981651376
Niederhasli,785,1888,50.75,ZH,Zürich,90,5152,49090.9485190262,46172.1611721612,0.355450781548239,0.293677515899738
Erlinsbach (AG),445,1070,57.14,AG,Aargau,4005,2281,55925.4872605084,49900,0.369500693087789,0.293729372937294
Lully (VD),89,214,65.47,VD,Vaud,5639,417,69791.4007628163,53600,0.506104669647324,0.293729372937294
Bassins,129,310,61.57,VD,Vaud,5703,699,61494.6328914959,50307.6923076923,0.458868931333392,0.293849658314351
Reiden,633,1521,50.99,LU,Luzern,1140,3915,42485.2572272939,40600,0.327127707741436,0.293871866295265
Grüningen,457,1098,67.73,ZH,Zürich,116,1932,54228.0634538483,47528.5714285714,0.38564705273237,0.293890675241158
Schlatt (TG),177,425,54.1,TG,Thurgau,4546,942,46105.2104978836,43585.7142857143,0.354474708129103,0.294019933554817
Ménières,35,84,55.16,FR,Fribourg / Freiburg,2027,203,41876.0036300806,40208.3333333333,0.372742304997175,0.294117647058824
Oberdorf (SO),220,528,60.3,SO,Solothurn,2553,986,53759.3602771962,48635.7142857143,0.394825723968119,0.294117647058824
Hilterfingen,508,1218,55.53,BE,Bern / Berne,929,2648,51599.4692309411,43716.6666666667,0.457670350133792,0.294322132097335
Obfelden,521,1249,56.69,ZH,Zürich,10,2764,50006.5031975761,46211.1111111111,0.373304686297141,0.294350282485876
Rothrist,700,1678,44.39,AG,Aargau,4282,4955,46844.8808760091,43600,0.344162151838186,0.294365012615643
Bussy (FR),43,103,52.84,FR,Fribourg / Freiburg,2004,256,43464.1669653902,44400,0.299848392361638,0.294520547945205
Heimenhausen,114,273,48.56,BE,Bern / Berne,977,638,40352.2918350051,39712.5,0.347735799604572,0.294573643410853
Jeuss,56,134,64.97,FR,Fribourg / Freiburg,2264,239,45492.0111056617,43416.6666666667,0.38769576882585,0.294736842105263
Ettingen,568,1359,55.2,BL,Basel-Landschaft,2768,2967,55556.7322118322,50900,0.368452836155047,0.294758692267774
Wittenbach,908,2172,50.58,SG,St. Gallen,3204,5563,44010.9954037625,41437.5,0.347181311356802,0.294805194805195
Montilliez,171,409,57.8,VD,Vaud,5540,871,51781.7488394193,49000,0.348302301551188,0.294827586206897
Sullens,110,263,61.79,VD,Vaud,5501,533,56613.4661358358,49100,0.394595273781383,0.294906166219839
Wil (ZH),172,411,59.66,ZH,Zürich,71,771,53388.7238868842,47200,0.405584900790717,0.295025728987993
Messen,185,442,57.5,SO,Solothurn,2457,875,45181.7198273461,42333.3333333333,0.371722393851775,0.295055821371611
Eschlikon,450,1075,52,TG,Thurgau,4724,2507,49148.0699699374,45100,0.351990172491784,0.295081967213115
Lenzburg,872,2082,55.15,AG,Aargau,4201,5567,51704.6677446341,46300,0.381282738786722,0.295192958700068
Veyrier,1073,2559,60.1,GE,Genève,6645,6064,74182.4865890834,49077.7777777778,0.591466274147245,0.295429515418502
Leukerbad,117,279,49.88,VS,Valais / Wallis,6111,1568,20202.3827044554,6333.33333333333,0.612833405066544,0.295454545454545
Thal,645,1538,54.33,SG,St. Gallen,3237,3755,47057.423665882,41523.8095238095,0.387732785296441,0.295464956481906
Biberstein,202,481,61.52,AG,Aargau,4002,889,64506.3623447193,56000,0.374553017845111,0.295754026354319
Echichens,298,709,61.61,VD,Vaud,5634,1433,58598.6069530066,48000,0.47485123044805,0.295928500496524
Gommiswald,517,1230,49.8,SG,St. Gallen,3341,2929,46091.5139961874,40400,0.381665010388467,0.29593589009731
Noréaz,66,157,54.95,FR,Fribourg / Freiburg,2213,338,44646.2129394822,42873.0769230769,0.384718627512918,0.295964125560538
Wasterkingen,74,176,60.66,ZH,Zürich,70,333,49256.2304845931,47333.3333333333,0.336794813134284,0.296
Gossau (ZH),1140,2711,57.33,ZH,Zürich,115,5603,53584.2043857301,47200,0.384357202208405,0.296027005972475
Thalheim an der Thur,106,252,56.24,ZH,Zürich,39,520,52007.399329144,46250,0.362333904265614,0.29608938547486
Felben-Wellhausen,228,542,46.8,TG,Thurgau,4561,1500,47561.8439698216,45902.380952381,0.321445735247097,0.296103896103896
Dierikon,146,347,51.27,LU,Luzern,1053,837,47513.8879291634,45200,0.348115351951586,0.296146044624746
Pfyn,197,468,50.8,TG,Thurgau,4841,1087,46776.525799112,44500,0.320729829914206,0.296240601503759
Rossenges,8,19,67.5,VD,Vaud,5684,35,67588.8409209838,44266.6666666667,0.476697956670619,0.296296296296296
Treytorrens (Payerne),16,38,61.29,VD,Vaud,5828,69,38319.0186423882,37800,0.320863633957922,0.296296296296296
Mattstetten,86,204,61.38,BE,Bern / Berne,543,348,51971.8058062375,47424.8120300752,0.397713771664221,0.296551724137931
Fällanden,837,1985,55.28,ZH,Zürich,193,4870,59857.8670114614,51700,0.403879384580281,0.296598157335223
Gündlischwand,35,83,52.17,BE,Bern / Berne,578,203,36895.3098716645,37933.3333333333,0.314343202406857,0.296610169491525
Au (SG),562,1332,49.71,SG,St. Gallen,3231,4391,45445.3293305025,41333.3333333333,0.373007301346395,0.296726504751848
Buch am Irchel,119,282,61.3,ZH,Zürich,24,507,53795.6268792821,48047.619047619,0.360702819169484,0.296758104738155
Marthalen,268,635,62.11,ZH,Zürich,35,1192,51220.5416120447,46000,0.372821073366385,0.296788482834994
Fisibach,38,90,51.81,AG,Aargau,4306,216,48115.646033065,45783.3333333333,0.322914958662412,0.296875
Wislikofen,49,116,65.49,AG,Aargau,4322,198,46727.2792022792,43302.1978021978,0.311394940378284,0.296969696969697
Bourg-Saint-Pierre,30,71,73.57,VS,Valais / Wallis,6032,135,30711.8435234176,30900,0.4200721333182,0.297029702970297
Dallenwil,205,485,53.4,NW,Nidwalden,1503,1041,41828.7032430271,40500,0.32387609013152,0.297101449275362
Diepoldsau,531,1255,49.08,SG,St. Gallen,3234,3424,46019.7649893917,42683.3333333333,0.351065585779204,0.297312430011198
Hohentannen,61,144,47.9,TG,Thurgau,4495,345,41224.6493442146,36708.3333333333,0.364010647462046,0.297560975609756
Rapperswil-Jona,2934,6926,55,SG,St. Gallen,3340,16122,56196.3965152721,47500,0.406979071276554,0.297565922920893
Erlinsbach (SO),367,866,53.2,SO,Solothurn,2503,2034,44680.5013813084,43911.5384615385,0.361079138183025,0.29764801297648
Wittnau,134,316,51.65,AG,Aargau,4181,697,48423.5653988618,46600,0.315430317906022,0.297777777777778
Brittnau,416,981,50.76,AG,Aargau,4274,2183,46369.2050322515,44200,0.323450378648226,0.297780959198282
Müllheim,232,547,43.6,TG,Thurgau,4831,1654,43792.2887799006,41868.75,0.357942485704339,0.297817715019255
Höri,213,502,48.06,ZH,Zürich,60,1542,45155.4361419237,42400,0.374255649034222,0.297902097902098
Trüllikon,129,304,56.44,ZH,Zürich,40,578,50396.7984805788,46605.5555555556,0.381060138773702,0.297921478060046
Ausserberg,93,219,63.31,VS,Valais / Wallis,6191,421,34826.2257111629,33777.7777777778,0.412912401211244,0.298076923076923
Urdorf,971,2286,54.86,ZH,Zürich,250,5604,52933.5200384361,48000,0.358233223689853,0.298127110838195
Starrkirch-Wil,209,492,60.8,SO,Solothurn,2584,986,55676.2045620131,49397.4358974359,0.405275174607134,0.298145506419401
Dürnten,779,1833,55.71,ZH,Zürich,113,4136,48580.0395902714,44711.1111111111,0.368383428971706,0.298238897396631
Aarwangen,464,1091,52.17,BE,Bern / Berne,321,2640,42291.207568736,39600,0.39164090324827,0.298392282958199
Henggart,285,670,61.63,ZH,Zürich,31,1232,52699.1404110995,49296.7032967033,0.338405550668289,0.298429319371728
Murgenthal,248,583,43.18,AG,Aargau,4279,1626,43806.8462824564,40433.3333333333,0.349957772687419,0.298435619735259
Ependes (VD),40,94,58.26,VD,Vaud,5914,208,43444.2170704633,40933.3333333333,0.37529336283535,0.298507462686567
Richterswil,1474,3463,59.44,ZH,Zürich,138,7700,56283.8863479215,47666.6666666667,0.422512402006671,0.298561879684019
Saas-Balen,46,108,51.68,VS,Valais / Wallis,6289,288,29665.9091583571,28971.4285714286,0.452137844716315,0.298701298701299
Susch,23,54,48.73,GR,Graubünden / Grigioni / Grisch,3744,122,42871.9583808723,38566.6666666667,0.36931292592274,0.298701298701299
Rickenbach (TG),210,493,45.9,TG,Thurgau,4751,1640,44969.3449696788,42333.3333333333,0.327959945643953,0.298719772403983
Gampelen,95,223,53.94,BE,Bern / Berne,495,498,44857.1955821956,42973.8095238095,0.373147924504595,0.29874213836478
Küblis,72,169,43.62,GR,Graubünden / Grigioni / Grisch,3882,485,39308.9207251321,37400,0.346872391882656,0.298755186721992
Eiken,176,413,41.22,AG,Aargau,4161,1275,48072.9832698128,45904.7619047619,0.328927451104409,0.298811544991511
Wil (SG),2311,5421,54.39,SG,St. Gallen,3427,14252,47804.5810469166,42300,0.386957784478728,0.298887739265391
Stüsslingen,139,326,58.2,SO,Solothurn,2499,640,49211.0389870546,46464.2857142857,0.364625798227166,0.298924731182796
Rebstein,377,884,51.05,SG,St. Gallen,3255,2602,42293.8646930515,39733.3333333333,0.352829083330154,0.298969072164948
Eichberg,148,347,50.93,SG,St. Gallen,3252,835,41474.0421637869,37333.3333333333,0.371985617635198,0.298989898989899
Bischofszell,485,1137,46.9,TG,Thurgau,4471,3401,41676.0432629782,39900,0.33941920326027,0.29901356350185
Port,413,968,55.04,BE,Bern / Berne,745,2164,49862.9231060554,44923.0769230769,0.414251657164565,0.299058653149891
Effingen,67,157,50.79,AG,Aargau,4096,347,48248.948030036,43466.6666666667,0.349151164196595,0.299107142857143
Bad Zurzach,333,780,49.96,AG,Aargau,4323,2499,45663.621033267,42300,0.364685862939168,0.299191374663073
Büren (SO),123,288,61.6,SO,Solothurn,2472,568,48366.8210369529,44881.8181818182,0.41987980749362,0.299270072992701
Oberuzwil,636,1489,52.6,SG,St. Gallen,3407,3547,44731.2923263482,42100,0.352911453565018,0.299294117647059
Märstetten,291,681,53.1,TG,Thurgau,4941,1563,48758.1777035863,44500,0.348045268933528,0.299382716049383
Münchwilen (TG),453,1060,48.3,TG,Thurgau,4746,2963,46702.9051638143,43095.2380952381,0.351674991015069,0.299405155320555
Schleinikon,92,215,58.63,ZH,Zürich,98,433,50284.8079460955,45400,0.378744054078229,0.299674267100977
Leutwil,95,222,57.53,AG,Aargau,4138,453,48419.1599570623,44700,0.330728381087222,0.299684542586751
Chamoson,410,958,62.99,VS,Valais / Wallis,6022,2333,35004.1112687688,32222.2222222222,0.463859447561414,0.299707602339181
Adligenswil,719,1680,63.49,LU,Luzern,1051,2993,55758.1682039305,48933.3333333333,0.410196494950338,0.299708211754898
Thundorf,149,348,52.6,TG,Thurgau,4611,812,47183.7906603439,44550,0.350899676246034,0.299798792756539
Aclens,54,126,60.4,VD,Vaud,5621,305,59714.7719840796,49000,0.431195768798426,0.3
Les Clées,21,49,64.6,VD,Vaud,5750,98,47255.962140656,45415.3846153846,0.368313060107291,0.3
Oberriet (SG),888,2072,51.86,SG,St. Gallen,3254,4923,42533.9425897758,39904.7619047619,0.336013334108052,0.3
Beinwil am See,335,781,51.23,AG,Aargau,4131,1840,49586.9615003926,43800,0.37362754208384,0.300179211469534
Müntschemier,133,310,56.91,BE,Bern / Berne,498,715,42454.4129371154,40388.8888888889,0.347492332671547,0.300225733634311
Jegenstorf,738,1719,62.0766666666667,BE,Bern / Berne,540,3298,47770.2012632829,45000,0.386161582921656,0.3003663003663
Rafz,471,1097,58.12,ZH,Zürich,67,2340,50699.9588461346,46640.0462962963,0.378348047470841,0.300382653061224
Bözberg,201,468,57.42,AG,Aargau,4124,931,50165.2493090428,45600,0.353678888943537,0.300448430493274
Cuarnens,52,121,64.62,VD,Vaud,5479,244,49217.5606585119,43958.3333333333,0.388106572741048,0.300578034682081
Malans,294,684,58.13,GR,Graubünden / Grigioni / Grisch,3954,1347,55390.0688042094,47400,0.42630308040522,0.300613496932515
Wassen,46,107,51.2,UR,Uri,1220,260,36646.1511829376,35700,0.346504462270759,0.300653594771242
Speicher,554,1288,60.2,AR,Appenzell Ausserrhoden,3023,2512,49509.5863729443,44000,0.398465059555663,0.300760043431053
Ebikon,1222,2841,49.84,LU,Luzern,1054,7636,46297.6535600256,43700,0.365935640519395,0.300762983017475
Untersiggenthal,662,1539,53.75,AG,Aargau,4044,4030,49457.6968952778,46788.8888888889,0.348850643178115,0.30077237619264
Jenins,114,265,58.6,GR,Graubünden / Grigioni / Grisch,3952,537,53878.6221101092,45500,0.40751348269293,0.300791556728232
Schinznach-Bad,105,244,49.16,AG,Aargau,4114,725,46964.9243488917,42866.6666666667,0.35251620432569,0.300859598853868
Dinhard,204,474,64.06,ZH,Zürich,216,828,55096.1356068137,48911.5384615385,0.373495818664156,0.300884955752212
Wangen an der Aare,238,553,51.73,BE,Bern / Berne,992,1365,43128.0566887932,40666.6666666667,0.35387603788664,0.300884955752212
Herbligen,62,144,47.31,BE,Bern / Berne,610,336,38814.247300594,37873.8095238095,0.374842214637844,0.300970873786408
Schüpfheim,521,1209,58.77,LU,Luzern,1008,2339,37627.6808225031,35700,0.340603735992084,0.301156069364162
Lindau,607,1407,60.98,ZH,Zürich,176,2986,55913.5235060317,49700,0.378495888143078,0.301390268123138
Kallern,41,95,59.74,AG,Aargau,4233,183,52709.9099829112,47166.6666666667,0.378684984034504,0.301470588235294
Ermatingen,284,658,51.9,TG,Thurgau,4646,1943,56095.3296270074,44600,0.44852984174661,0.301486199575372
Gebenstorf,458,1061,50.97,AG,Aargau,4029,2876,49405.8071299923,46788.8888888889,0.337112739078801,0.301514154048716
Saint-Prex,464,1074,57.67,VD,Vaud,5646,3053,59997.107899877,47944.4444444444,0.448305839896074,0.301690507152146
Niedergösgen,353,817,50.7,SO,Solothurn,2495,2351,42750.8996183583,40933.3333333333,0.375264750122213,0.301709401709402
Gächlingen,131,303,73.8,SH,Schaffhausen,2901,472,41807.2485754759,40283.3333333333,0.364151641708789,0.30184331797235
Walterswil (SO),80,185,46.5,SO,Solothurn,2585,448,42308.2401731779,41121.4285714286,0.328865668063028,0.30188679245283
Seelisberg,74,171,53.3,UR,Uri,1215,427,42206.7714129482,36400,0.39486401439378,0.302040816326531
Dachsen,232,536,58.8,ZH,Zürich,25,1094,53614.9922801539,48316.6666666667,0.377193639810398,0.302083333333333
Oberlangenegg,58,134,51.42,BE,Bern / Berne,935,282,32151.8356151335,30900,0.365774570208547,0.302083333333333
Ollon,655,1513,59.15,VD,Vaud,5409,5418,41863.7937209161,26400,0.580263558083588,0.302121771217712
Champéry,139,321,59.92,VS,Valais / Wallis,6151,1328,32271.5332241826,17733.3333333333,0.60545276843253,0.302173913043478
Bassersdorf,1065,2459,51,ZH,Zürich,52,6593,55072.4961081664,50466.6666666667,0.363746054231757,0.302213393870602
Schönholzerswilen,94,217,55.2,TG,Thurgau,4756,422,41845.7733121599,39707.4074074074,0.353419740346906,0.302250803858521
Gränichen,724,1671,51.28,AG,Aargau,4006,4227,47260.049835016,45400,0.323681422055332,0.302296450939457
Burtigny,39,90,62.84,VD,Vaud,5854,177,50734.075333016,44066.6666666667,0.423455461385307,0.302325581395349
Langrickenbach,127,293,52.9,TG,Thurgau,4681,727,41097.9874350467,39500,0.348602430023354,0.302380952380952
Berg (SG),111,256,59.97,SG,St. Gallen,3211,451,50447.404220607,44933.3333333333,0.390486039990033,0.302452316076294
Metzerlen-Mariastein,134,309,62.3,SO,Solothurn,2477,597,50868.9942174305,47761.9047619048,0.394720449211594,0.302483069977427
Schafisheim,291,671,50.7,AG,Aargau,4207,1651,46953.6793187431,44600,0.339810397740782,0.302494802494802
Wintersingen,72,166,48.6,BL,Basel-Landschaft,2866,375,46496.4516169341,44466.6666666667,0.350392760219506,0.302521008403361
Ennetbaden,394,908,61.65,AG,Aargau,4026,1966,66632.8741053148,57500,0.399722416322239,0.302611367127496
Pully,1822,4198,60.13,VD,Vaud,5590,10858,70586.0049515554,52088.4615384615,0.50572185926792,0.30265780730897
Lupsingen,165,380,55.5,BL,Basel-Landschaft,2830,772,59639.4545037475,52761.9047619048,0.388061508268993,0.302752293577982
Tinizong-Rona,33,76,47.03,GR,Graubünden / Grigioni / Grisch,3541,238,36839.3963489579,33100,0.460396575368352,0.302752293577982
Amriswil,1020,2349,47.4,TG,Thurgau,4461,7646,41169.5512797113,38300,0.362033655494075,0.302760463045414
Cheseaux-Noréaz,83,191,62.11,VD,Vaud,5909,360,66417.0113592683,55483.3333333333,0.444543277850122,0.302919708029197
Härkingen,173,398,55.6,SO,Solothurn,2402,937,48684.3448639045,47000,0.32084222074248,0.302977232924694
Uznach,569,1309,51.57,SG,St. Gallen,3339,3379,44129.1818411714,41153.8461538462,0.359023907518528,0.302981895633653
Gontenschwil,217,499,50.32,AG,Aargau,4135,1186,44999.8247877936,42633.3333333333,0.327822006527328,0.303072625698324
Frick,471,1083,49.34,AG,Aargau,4163,3028,48905.0698929217,44738.8888888889,0.361580206759111,0.303088803088803
Dottikon,299,687,48.91,AG,Aargau,4065,2211,46487.3406159705,44600,0.319284429477016,0.303245436105477
Heitenried,168,386,51.62,FR,Fribourg / Freiburg,2296,806,41511.2738697474,39950,0.32722626366862,0.303249097472924
Eysins,121,278,57,VD,Vaud,5716,774,64897.6416006336,55100,0.438457859531535,0.303258145363409
Jorat-Menthue,165,379,58.05,VD,Vaud,5804,805,48488.420200143,44866.6666666667,0.360173810834506,0.303308823529412
Alvaneu,44,101,47.92,GR,Graubünden / Grigioni / Grisch,3511,318,32885.7037171424,30783.3333333333,0.413189257063097,0.303448275862069
Kloten,1471,3376,45.89,ZH,Zürich,62,11232,50496.6247695675,45607.6923076923,0.385245287672512,0.30348669279967
Vulliens,58,133,61.02,VD,Vaud,5803,264,47578.2210234313,39316.6666666667,0.44082750207598,0.303664921465969
Füllinsdorf,454,1041,55.4,BL,Basel-Landschaft,2825,2598,52469.8793362191,47804.7619047619,0.390345355534269,0.303678929765886
Krattigen,137,314,54.38,BE,Bern / Berne,566,702,41029.58000376,38783.3333333333,0.383137420642433,0.303769401330377
Andeer,96,220,49.61,GR,Graubünden / Grigioni / Grisch,3701,535,40087.1677716537,40111.1111111111,0.345379063608543,0.30379746835443
Sagogn,79,181,51.27,GR,Graubünden / Grigioni / Grisch,3581,489,35183.4804652289,33200,0.439982178560131,0.303846153846154
Evolène,330,756,83.91,VS,Valais / Wallis,6083,1526,28498.8388062908,22600,0.542567355465182,0.303867403314917
Buchs (AG),616,1410,49.3,AG,Aargau,4003,4453,50141.9985391878,47933.3333333333,0.320144364850795,0.304047384007897
Bäretswil,629,1439,58.03,ZH,Zürich,111,2895,50888.2181415581,46000,0.370948713878522,0.304158607350097
Buchholterberg,195,446,51.84,BE,Bern / Berne,923,930,36604.6725906877,35116.6666666667,0.357443355542394,0.304212168486739
Ennetmoos,265,606,59.4,NW,Nidwalden,1506,1199,49964.7272532714,44600,0.349791565776854,0.304247990815155
Uzwil,1122,2565,49.52,SG,St. Gallen,3408,7113,42862.7380345292,40777.7777777778,0.346296138246152,0.304312449145647
Schattenhalb,63,144,51.05,BE,Bern / Berne,786,351,35375.6524196995,34500,0.323864555641122,0.304347826086957
Unterbäch,49,112,48.06,VS,Valais / Wallis,6201,372,28210.1748719745,25944.4444444444,0.525993340401835,0.304347826086957
Chermignon,358,818,65.35,VS,Valais / Wallis,6234,2670,42395.3770799001,25650,0.6296764065705,0.304421768707483
Sulgen,352,804,51.2,TG,Thurgau,4506,2126,43870.4432586067,41605.5555555556,0.33733505017961,0.304498269896194
Hinwil,1221,2788,54.9,ZH,Zürich,117,6499,50131.6781298425,45458.3333333333,0.369540339251836,0.304564729358942
Bussnang,255,582,55.3,TG,Thurgau,4921,1247,44347.6101387431,40400,0.363071759048012,0.304659498207885
Ardon,259,591,58.43,VS,Valais / Wallis,6021,1721,36506.1432948322,35466.6666666667,0.421450537052353,0.304705882352941
Dizy,32,73,73.83,VD,Vaud,5481,122,53458.1696047777,44137.3626373626,0.463700436866657,0.304761904761905
Gurbrü,32,73,54.59,BE,Bern / Berne,665,140,41925.0340862841,42333.3333333333,0.318447990326524,0.304761904761905
Aarberg,507,1156,53.06,BE,Bern / Berne,301,2798,45182.731451829,44116.6666666667,0.339701720856496,0.304870715574263
Buttwil,136,310,54.11,AG,Aargau,4230,640,49083.1481276475,47000,0.314776640645734,0.304932735426009
Penthaz,176,401,58.31,VD,Vaud,5496,895,51959.4766059732,48380.9523809524,0.35224500838767,0.305025996533795
Clarmont,18,41,55.14,VD,Vaud,5629,98,60845.4551967307,52600,0.384971208828183,0.305084745762712
Stein (AR),198,451,62,AR,Appenzell Ausserrhoden,3005,788,47096.589589797,41269.0476190476,0.382210100442917,0.305084745762712
Obergoms,83,189,55.78,VS,Valais / Wallis,6076,470,30124.4463928506,29500,0.449620876200644,0.305147058823529
Balsthal,550,1252,53.7,SO,Solothurn,2422,3473,42311.3162381861,39933.3333333333,0.372577342015242,0.305216426193119
Adliswil,1701,3872,54.79,ZH,Zürich,131,11007,55596.8067551877,47500,0.411525673467087,0.305221604162928
Merzligen,58,132,61.27,BE,Bern / Berne,741,252,45260.3429870974,44900,0.366049557030014,0.305263157894737
